,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней,За 7 дней,За 8 дней,За 9 дней
2026-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
2026-01-25,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
2026-01-26,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0
2026-01-27,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0
2026-01-28,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0
2026-01-29,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0
2026-01-30,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0
2026-01-31,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0
2026-02-01,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0
2026-02-02,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0
2026-02-03,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0
2026-02-04,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0
2026-02-05,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
2026-02-06,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
2026-02-07,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0
2026-02-08,0.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0
2026-02-09,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
2026-02-10,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0
2026-02-11,,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0
2026-02-12,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2026-02-13,0.0,0.0,,2.0,3.0,3.0,3.0,0.0,0.0,3.0
2026-02-14,0.0,0.0,0.0,,2.0,2.0,0.0,3.0,3.0,0.0
2026-02-15,3.0,3.0,0.0,3.0,,2.0,2.0,0.0,3.0,3.0
2026-02-16,3.0,3.0,0.0,3.0,3.0,,3.0,3.0,3.0,3.0
2026-02-17,0.0,0.0,0.0,0.0,3.0,0.0,,3.0,3.0,3.0
2026-02-18,0.0,0.0,0.0,3.0,3.0,3.0,0.0,,0.0,3.0
2026-02-19,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,,0.0
2026-02-20,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,
2026-02-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
2026-02-22,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0
2026-02-23,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2026-02-24,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0
2026-02-25,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0
2026-02-26,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0
2026-02-27,,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2026-02-28,,,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2026-03-01,,,,2.0,0.0,0.0,2.0,3.0,0.0,3.0
2026-03-02,2.0,,,,2.0,2.0,3.0,0.0,0.0,0.0
2026-03-03,0.0,0.0,,,,0.0,0.0,2.0,0.0,0.0
2026-03-04,0.0,3.0,3.0,,,,0.0,0.0,3.0,3.0
2026-03-05,,0.0,3.0,3.0,,,,3.0,3.0,3.0
2026-03-06,,,3.0,0.0,0.0,,,,3.0,3.0
2026-03-07,,,,2.0,0.0,0.0,,,,3.0
2026-03-08,,,,,3.0,0.0,3.0,,,
2026-03-09,,,,,,0.0,3.0,0.0,,
2026-03-10,,,,,,,0.0,0.0,0.0,
2026-03-11,,,,,,,,0.0,3.0,0.0
2026-03-12,0.0,,,,,,,,2.0,0.0
2026-03-13,,0.0,,,,,,,,2.0
2026-03-14,,,0.0,,,,,,,
2026-03-15,0.0,,,0.0,,,,,,
2026-03-16,,0.0,,,0.0,,,,,
2026-03-17,,,0.0,,,0.0,,,,
2026-03-18,,,,0.0,,,0.0,,,
2026-03-19,,,,,2.0,,,0.0,,
2026-03-20,2.0,,,,,0.0,,,0.0,
2026-03-21,0.0,0.0,,,,,0.0,,,0.0
2026-03-22,,0.0,0.0,,,,,0.0,,
2026-03-23,0.0,,0.0,0.0,,,,,0.0,
2026-03-24,0.0,0.0,,0.0,0.0,,,,,0.0
2026-03-25,0.0,0.0,0.0,,0.0,2.0,,,,
2026-03-26,0.0,0.0,0.0,0.0,,2.0,0.0,,,
2026-03-27,,0.0,0.0,0.0,0.0,,2.0,2.0,,
2026-03-28,,,0.0,0.0,0.0,0.0,,0.0,2.0,
2026-03-29,,,,2.0,0.0,0.0,0.0,,2.0,0.0
2026-03-30,,,,,2.0,2.0,0.0,0.0,,2.0
2026-03-31,,,,,,2.0,2.0,0.0,2.0,
2026-04-01,0.0,,,,,,2.0,0.0,2.0,3.0
2026-04-02,2.0,2.0,,,,,,2.0,2.0,2.0
2026-04-03,0.0,2.0,2.0,,,,,,2.0,0.0
2026-04-04,2.0,2.0,0.0,2.0,,,,,,0.0
2026-04-05,2.0,2.0,2.0,2.0,2.0,,,,,
2026-04-06,2.0,2.0,2.0,2.0,0.0,2.0,,,,
2026-04-07,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,
2026-04-08,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,
2026-04-09,3.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,
2026-04-10,0.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0
2026-04-11,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0
2026-04-12,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0
2026-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
